,question,answer,paragraph_text,pnumber,law_name
0,"Hvilken type sag skal være anlagt mod en direktør for et fondsmæglerselskab, før Finanstilsynet må påbyde at pågældende direktør må afsættes?",En straffesag.,"Finanstilsynet kan påbyde et fondsmæglerselskab eller en fondsmæglerholdingvirksomhed at afsætte et medlem af direktionen inden for en frist, der er fastsat af Finanstilsynet, hvis medlemmet af direktionen efter § 75, stk. 1, eller § 76 ikke kan bestride stillingen. Finanstilsynet kan påbyde et medlem af bestyrelsen i et fondsmæglerselskab eller en fondsmæglerholdingvirksomhed at nedlægge sit hverv inden for en frist, der er fastsat af Finanstilsynet, hvis bestyrelsesmedlemmet efter § 75, stk. 1, eller § 76 ikke kan bestride hvervet. Finanstilsynet kan påbyde et fondsmæglerselskab at afsætte en direktør, når der er rejst tiltale mod den pågældende i en straffesag om overtrædelse af straffeloven, den finansielle lovgivning eller anden relevant lovgivning, indtil straffesagen er afgjort, hvis domfældelse vil indebære, at direktøren ikke opfylder kravene i § 75, stk. 1, nr. 3. Varigheden af påbud meddelt efter stk. 2 på baggrund af § 75, stk. 1, nr. 2 og 4-6, skal fremgå af påbuddet. Påbud meddelt i henhold til stk. 1-3 kan af fondsmæglerselskabet eller fondsmæglerholdingvirksomheden og af den person, som påbuddet vedrører, forlanges indbragt for domstolene. Finanstilsynet kan af egen drift eller efter ansøgning tilbagekalde et påbud meddelt efter stk. 2 og stk. 3, 3. pkt. Afslår Finanstilsynet en ansøgning om at tilbagekalde påbuddet, kan ansøgeren forlange afslaget indbragt for domstolene. Har fondsmæglerselskabet eller fondsmæglerholdingvirksomheden ikke afsat direktøren inden for den fastsatte frist, kan Finanstilsynet inddrage fondsmæglerselskabets eller fondsmæglerholdingvirksomhedens tilladelse.",242,LBK nr 232 af 01/03/2024
1,"Hvad skal en virksomhed, som har ansat minimum 10 personer, der gør tjeneste som besætningsmedlemmer på et luftfartøj?",Oprette en arbejdsmiljøorganisation.,"I virksomheder med 10 ansatte eller derover, som gør tjeneste som besætningsmedlemmer på luftfartøj, oprettes en arbejdsmiljøorganisation. Arbejdsmiljøorganisationen udgøres af højst 4 arbejdsmiljørepræsentanter og et tilsvarende antal repræsentanter for arbejdsgiveren. Arbejdsmiljøorganisationen skal inden for virksomheden være rådgivende med hensyn til planlægning og gennemførelse af foranstaltninger af betydning for arbejdsmiljøet for tjeneste på luftfartøjer. Arbejdsmiljøorganisationen skal mødes mindst 1 gang årligt.",40 e,LBK nr 76 af 24/01/2024
3,"Hvem betaler for den lægelige dokumentation, en lønmodtager skal påvise til indfrielse af erstatningsferie?",Lønmodtageren.,"Er en lønmodtager syg, når ferien begynder, har lønmodtageren ikke pligt til at begynde ferien. En lønmodtager, som bliver syg under ferien, har mod lægelig dokumentation ret til erstatningsferie efter i alt 5 sygedage under ferie i samme ferieår. Lønmodtageren betaler for den lægelige dokumentation, jf. stk. 2. Ved opgørelsen af erstatningsferie efter stk. 1 og 2 ses bort fra sygedage forud for den dag, hvor lønmodtageren giver arbejdsgiveren meddelelse om sygdommen, medmindre manglende meddelelse ikke kan bebrejdes lønmodtageren. En lønmodtager omfattet af stk. 1 eller 2, som bliver rask, før den planlagte ferieperiode er ovre, har ret til i forlængelse af sin raskmelding at holde den resterende del af den planlagte ferieperiode, såfremt lønmodtageren ved sin raskmelding giver besked herom.",12,LBK nr 152 af 20/02/2024
4,Hvem afholder som udgangspunkt udgifter forbundet med kommunal tandpleje?,Bopælskommunen.,"Bopælskommunen afholder udgifter forbundet med tandpleje efter §§ 131, 133, 134 a og 135. Tilbyder en anden kommune end bopælskommunen tandpleje til borgere med særlige sociale problemer, jf. § 134 a, stk. 1, har denne kommune ret til mellemkommunal refusion for udgifter til tandpleje efter § 134 a, stk. 1, fra bopælskommunen.",249,LBK nr 1015 af 05/09/2024
5,For hvor mange år fastsættes en aftale om statslig tilskud til den enkelte kommunes små storbyteatre?,4 år.,"Statens tilskud til den enkelte kommunes små storbyteatre fastsættes under et i en 4-årig aftale mellem staten og kommunen. Tilskud til husleje kan kun udgøre indtil 15 pct. af det tilskudsberettigede kommunale driftstilskud til det enkelte lille storbyteater. Statstilskuddet ydes kun, såfremt kommunen har indgået minimum 3-årige aftaler om driftstilskud med de enkelte teatre. Kulturministeren fastsætter efter forhandling med Kommunernes Landsforening nærmere regler om ordningen for små storbyteatre. Kulturministeren kan i forbindelse med kulturaftaler med kommuner m.v. fravige bestemmelserne i stk. 1-4 og i § 16 a.",16 b,LBK nr 1473 af 30/11/2023
6,"Hvilken skattebetaling nedsætter til nul, hvis det ultimative moderselskab hører til en jurisdiktion med en selskabskattesats på 20 procent eller derover?",Ekstraskatten.,"Er det ultimative moderselskab hjemmehørende i en jurisdiktion med en selskabsskattesats på 20 pct. eller højere, nedsættes ekstraskatten efter reglerne i afsnit III om underbeskattet overskud til nul for hvert regnskabsår af højst 12 måneders varighed, der påbegyndes den 31. december 2025 eller før, og som slutter senest den 30. december 2026.",75,LOV nr 1535 af 12/12/2023
7,"Hvilken minister fastsætter regler om deltagerbetaling for kursister, som er på efterløn eller aldersbetinget pension, og som ikke har en arbejdsmarkedstilknytning eller en videregående uddannelse?",Børne- og undervisningsministeren.,"Børne- og undervisningsministeren fastsætter regler om, at kursister, der modtager efterløn eller en aldersbetinget pension, og som ikke eller kun i mindre omfang har arbejdsmarkedstilknytning, og som deltager i almen voksenuddannelse eller hf-enkeltfag, og som ikke er omfattet af § 30, stk. 4, skal betale en deltagerbetaling, der er højere end den, andre kursister skal betale efter regler fastsat i henhold til § 47, stk. 1, eller efter § 48, stk. 1. Børne- og undervisningsministeren skal for kursister omfattet af regler fastsat i henhold til stk. 1 nedsætte en eller flere takster pr. årselev, som er fastsat på de årlige finanslove, for de taxametertilskud, der ydes efter § 30, stk. 1-3, med det beløb, hvormed deltagerbetalingen er forhøjet for de pågældende kursister. Regler fastsat efter stk. 1 og takstnedsættelse efter stk. 2 kan tidligst have virkning for undervisningsforløb, der påbegyndes 1 måned efter bekendtgørelsens offentliggørelse i Lovtidende.",49 a,LBK nr 146 af 14/02/2024
8,Hvad har Rådet for Dyreforsøg til enhver tid uden retskendelse mod behørig legitimation adgang til?,"Forsøgslokaler og andre lokaler, hvor forsøgsdyr anbringes.","Rådet og personer, som rådet har bemyndiget hertil, har til enhver tid uden retskendelse mod behørig legitimation adgang til forsøgslokaler og andre lokaler, hvor forsøgsdyr anbringes, med henblik på at tilvejebringe oplysninger til brug for tilsynet. Den, der leder forsøgene, og personer, der er beskæftiget med forsøgene eller med dyrenes pasning, skal yde tilsynsmyndigheden vejledning og hjælp under tilsyn efter stk. 1.",11,LBK nr 63 af 19/01/2024
9,Hvem foretager vurderingen af lediges uddannelses- eller beskæftigelsespotentiale?,Jobcenteret.,"Beskæftigelsesministeren fastsætter regler om, hvordan jobcenteret skal foretage vurderingen af de lediges uddannelses- eller beskæftigelsespotentiale. Beskæftigelsesministeren fastsætter regler om et landsdækkende digitalt afklarings- og dialogværktøj, som kan benyttes af jobcentre og arbejdsløshedskasser.",8,LBK nr 280 af 01/03/2024
10,Efter hvilken lovs regler behandles et administrationsbo under konkursbehandling?,Konkursloven.,"Tages administrationsboet under konkursbehandling, behandles boet i overensstemmelse med konkurslovens regler, jf. dog stk. 2. Aktiverne i administrationsboet, herunder finansielle instrumenter, opgjort efter fradrag af udgifter til administrator anvendes i lige forhold til betaling af krav fra indehaverne af de særligt dækkede obligationer, modparter på de finansielle instrumenter, som de registrerede aktiver og aftaler ligger til grund for, indehavere af eventuelle refinansieringsobligationer udstedt af administrator i medfør af § 247 h, stk. 1, og dækning af lån, som administrationsboet har optaget i medfør af § 247 h, stk. 2.",247 i,LBK nr 1013 af 21/08/2024
11,"Hvem skal en sundhedsfaglig person sende en ansøgning til, såfremt vedkommende søger tilladelse til at få generhvervet sin autorisation?",Styrelsen for Patientsikkerhed.,"Styrelsen for Patientsikkerhed kan efter ansøgning give en person, der har fået frataget sin autorisation efter § 7 b eller indskrænket sit virksomhedsområde efter § 8 a, tilladelse til at generhverve autorisationen eller få ophævet indskrænkningen af virksomhedsområdet. En person kan forlange Styrelsen for Patientsikkerheds afslag på generhvervelse af autorisationen eller ophævelse af indskrænkningen af virksomhedsområde efter stk. 1 indbragt for domstolene. Begæring om domstolsprøvelse efter stk. 2 skal fremsættes over for Styrelsen for Patientsikkerhed, senest 3 uger efter at afgørelsen efter stk. 1 er meddelt den pågældende.",11 c,LBK nr 1008 af 29/08/2024
12,"Hvad skal jord have en skadelig virkning på, hvis det skal forstås som forurenet jord?","Grundvand, menneskers sundhed og miljøet i øvrigt.","Ved forurenet jord forstås jord, der på grund af menneskelig påvirkning kan have skadelig virkning på grundvand, menneskers sundhed og miljøet i øvrigt.",83 c,LBK nr 928 af 28/06/2024
13,"Hvad skal en virksomhed have status af, hvis det skal have tilladelse til at yde lån mod registreret pant i fast ejendom?",Realkreditinstitut.,"Virksomheder, der yder lån mod registreret pant i fast ejendom på grundlag af udstedelse af realkreditobligationer, skal have tilladelse som realkreditinstitut og tilladelse til at udstede realkreditobligationer. Realkreditinstitutter, der har tilladelse efter stk. 1, kan udøve de aktiviteter, som er nævnt i bilag 1, afsnit A, nr. 1 og 2, i lov om fondsmæglerselskaber og investeringsservice og –aktiviteter, for så vidt angår realkreditobligationer, særligt dækkede obligationer, særligt dækkede realkreditobligationer og heraf afledte instrumenter, og de aktiviteter, som er nævnt i bilagets afsnit A, nr. 3, samt de aktiviteter, som er nævnt i bilagets afsnit A, nr. 5, når investeringsrådgivningen sker i tilknytning til og som forudsætning for udførelse af kunders optagelse, indfrielse, refinansiering eller omlægning af et lån med pant i fast ejendom. Realkreditinstitutter og udenlandske kreditinstitutter, der opfylder betingelserne herfor i lov om realkreditlån og realkreditobligationer m.v., har eneret til at udstede realkreditobligationer. Andre finansielle instrumenter end realkreditobligationer må ikke bære denne betegnelse eller betegnelser, der er egnet til at fremkalde det indtryk, at de er realkreditobligationer. Realkreditinstitutter har eneret til at benytte betegnelser som »realkreditinstitut«, »realkreditaktieselskab«, »kreditforening« eller »realkreditfond« i deres navn. Realkreditinstitutter, der er omdannet til aktieselskaber, og som hidtil har benyttet betegnelser som »kreditforening«, »realkreditfond« eller »reallånefond« i deres navn, skal tilføje ordet »aktieselskab« eller deraf dannede forkortelser efter navnet. En virksomhed, der søger om tilladelse efter stk. 1, skal have en aktiekapital, der mindst udgør et beløb svarende til 5 mio. euro.",8,LBK nr 1013 af 21/08/2024
14,"Hvad har personer, som hører til et andet medlemsland i EU end Danmark, ret til at få tilbagebetalt jf. §45, stk. 1?",Moms.,"Afgiftspligtige personer, der har et andet EU-land end Danmark som identifikationsmedlemsland, kan få tilbagebetalt moms efter reglerne i § 45, stk. 1.",66 f,LBK nr 209 af 27/02/2024
15,"Hvad fastlægger de rettigheder og forpligtigelser, der tildeles en deltager i et værdipapirafviklingssystem i Danmark, der er erklæret konkurs?",Den lovgivning som systemet er undergivet.,"Erklæres en deltager i et værdipapirafviklingssystem eller i et registreret betalingssystem eller i tilsvarende virksomhed udøvet af Danmarks Nationalbank konkurs eller tages under rekonstruktionsbehandling eller anden form for insolvensbehandling som defineret i artikel 2, litra j, i Europa-Parlamentets og Rådets direktiv 98/26/EF af 19. maj 1998 om endelig afregning i betalingssystemer og værdipapirafviklingssystemer, skal de rettigheder og forpligtelser, der følger af eller har forbindelse med den pågældendes deltagelse i systemet, fastlægges efter den lovgivning, som systemet er undergivet. Erklæres en dansk deltager i et udenlandsk værdipapirafviklingssystem eller i et betalingssystem, der er anmeldt til Den Europæiske Værdipapir- og Markedstilsynsmyndighed (ESMA) i medfør af artikel 10, stk. 1, i Europa-Parlamentets og Rådets direktiv 98/26/EF af 19. maj 1998 om endelig afregning i betalingssystemer og værdipapirafviklingssystemer, konkurs eller tages under rekonstruktionsbehandling eller anden form for insolvensbehandling som defineret i artikel 2, litra j, i Europa-Parlamentets og Rådets direktiv 98/26/EF af 19. maj 1998 om endelig afregning i betalingssystemer og værdipapirafviklingssystemer, skal de rettigheder og forpligtelser, der følger af eller har forbindelse med den pågældendes deltagelse i systemet, fastlægges efter den lovgivning, som systemet er undergivet, jf. § 164, stk. 1, og § 169, stk. 1. Erklæres en dansk deltager i et udenlandsk værdipapirafviklingssystem eller i et betalingssystem, der ikke er omfattet af stk. 2, og som er hjemmehørende i et land uden for Den Europæiske Union, som Unionen ikke har indgået aftale med på det finansielle område, konkurs eller tages under rekonstruktionsbehandling eller anden form for insolvensbehandling, skal de rettigheder og forpligtelser, der følger af eller har forbindelse med den pågældendes deltagelse i systemet, og som ikke er omfattet af en godkendelse i henhold til § 164, stk. 2, eller § 169, stk. 2, fastlægges efter den lovgivning, som systemet er undergivet, hvis Finanstilsynet har godkendt aftalen mellem deltageren og systemet.",174,LBK nr 198 af 26/02/2024
16,Hvilken minister kan fastsætte regler om naturbeskyttelse på dansk territorium vedrørende transport af olie i rørledninger?,"Klima-, energi- og forsyningsministeren.","Klima-, energi- og forsyningsministeren kan fastsætte regler med henblik på at gennemføre eller anvende internationale konventioner og EU-regler om forhold, der er omfattet af denne lov, herunder forordninger, direktiver og beslutninger om naturbeskyttelse på dansk kontinentalsokkel, i dansk eksklusiv økonomisk zone og på dansk søterritorium.",1 a,LBK nr 200 af 27/02/2024
17,Ifølge hvilken lov kan en kommunalbestyrelse delegere sit drifttilsyn med egne og private tilbud til socialtilsynet?,Lov om socialtilsyn.,"Kommunalbestyrelsen fører generelt driftsorienteret tilsyn med egne tilbud efter § 83 og § 84, stk. 1, og med private tilbud efter § 83 og § 84, stk. 1. Tilsynet efter stk. 1 omfatter dog ikke tilbud, hvor en anden kommunalbestyrelse eller et regionsråd har indgået aftale om anvendelse af samtlige pladser i tilbuddet og om tilsyn. Kommunalbestyrelsen kan delegere sin kompetence efter stk. 1 til socialtilsynet, jf. § 3, stk. 1, nr. 2, i lov om socialtilsyn.",157,LBK nr 890 af 19/06/2024
18,"Hvilket organ kan mod betaling tilbyde behandling til personer, som ikke har ret til sygehusbehandling efter sundhedsloven?",Regionsrådet.,"Indenrigs- og sundhedsministeren kan fastsætte regler om, at et regionsråd mod betaling kan tilbyde sygehusbehandling til personer, som ikke har ret til sygehusbehandling efter denne lov. Indenrigs- og sundhedsministeren kan fastsætte regler om, at et regionsråd mod betaling kan tilbyde behandlinger og ydelser på regionens sygehuse, herunder udlejning af lokaler og udstyr til offentlige myndigheder og private virksomheder. Et regionsråd kan samarbejde med offentlige myndigheder og private virksomheder, herunder i selskabsform, om løsningen af fælles opgaver efter afsnit VI, XI, XII og XIV-XVI og opgaver, der har tilknytning hertil, og som regionsrådet lovligt kan varetage efter anden lovgivning, samt påtage sig dermed forbundne udgifter, jf. dog stk. 4. Indenrigs- og sundhedsministeren kan fastsætte regler om, at samarbejder som nævnt i stk. 3, der medfører indskrænkninger i regionsrådets beføjelser, skal godkendes af ministeren, herunder om, at kravet om godkendelse alene gælder nærmere former for samarbejde. Et samarbejde, som efter regler fastsat i medfør af stk. 4 kræver godkendelse, anses for godkendt, medmindre regionsrådet modtager afslag på godkendelse, inden 1 måned efter at indenrigs- og sundhedsministeren har modtaget orientering fra regionsrådet om samarbejdet. Indenrigs- og sundhedsministeren kan fastsætte regler om proceduren for godkendelse i medfør af regler udstedt efter stk. 4, herunder om orientering af ministeren, om, hvilke oplysninger orienteringen skal indeholde, og om udsættelse af fristen, såfremt de nødvendige oplysninger ikke foreligger ved orienteringen. En kommunalbestyrelse kan deltage i samarbejder efter stk. 3, når samarbejdet tillige varetager opgaver, som kommunerne lovligt kan varetage. Et regionsråd kan efter indenrigs- og sundhedsministerens godkendelse påtage sig opgaver og dermed forbundne udgifter, som ikke er omfattet af denne lov, såfremt det har væsentlig betydning for varetagelsen af regionsrådets opgaver efter afsnit VI, XI, XII og XIV-XVI.",78,LBK nr 1015 af 05/09/2024
19,Hvor lang tid har en ejer til at anmode om kommunal overtagelse af et område i forbindelse et vejudlæg?,6 måneder.,"Hvis et vejudlæg efter § 26, stk. 2, bevirker, at ejeren af et areal afskæres fra at udnytte arealet på en måde, der er økonomisk rimelig og forsvarlig under hensyn til ejendommens beliggenhed og øvrige beskaffenhed, og som svarer til den udnyttelse, der finder sted af andre tilgrænsende eller omliggende arealer, kan ejeren anmode kommunen om helt eller delvis at overtage arealet mod erstatning. En anmodning om overtagelse skal fremsættes, inden 6 måneder efter at ejeren har fået underretning om vejudlægget, eller, hvis dette er påklaget, inden 6 måneder efter at ejeren har modtaget afgørelse i klagesagen. Afslår kommunalbestyrelsen ejerens anmodning, eller opnås der ikke enighed om erstatningens størrelse, skal kommunalbestyrelsen indbringe sagen for de taksationsmyndigheder, der er nævnt i § 91.",38,LBK nr 1050 af 17/09/2024
21,Hvornår anses en brevforkyndelse for at være forkyndt?,Hvis den er underskrevet personligt.,"Ved brevforkyndelse anses meddelelsen for forkyndt, hvis genparten eller modtagelsesbeviset er underskrevet af den pågældende personligt.",156,LBK nr 250 af 04/03/2024
22,"Hvis interesse i et dødsfald skal tages højde for, såfremt et retslægeligt tilsyn undlades?",Politiets.,"I de tilfælde, der er nævnt i § 179, iværksættes retslægeligt ligsyn. Retslægeligt ligsyn kan dog undlades: ved dødsfald efter ulykkestilfælde, såfremt døden først er indtrådt nogen tid efter ulykken og politiet efter de tilvejebragte oplysninger finder det åbenbart, at dødsfaldet er uden politimæssig interesse, ved dødsfald efter ulykkestilfælde, såfremt døden først er indtrådt nogen tid efter ulykken og politiet efter de tilvejebragte oplysninger finder det åbenbart, at dødsfaldet er uden politimæssig interesse, ved de dødsfald, der er nævnt i § 179, stk. 1, nr. 2, 3, 5 og 6, såfremt der mellem politiet og Styrelsen for Patientsikkerhed er enighed om, at de tilvejebragte oplysninger gør det åbenbart, at der foreligger naturlig død, ved de dødsfald, der er nævnt i § 179, stk. 1, nr. 4, såfremt Styrelsen for Patientsikkerhed finder, at de tilvejebragte oplysninger med tilstrækkelig sikkerhed har klarlagt dødsårsagen, og ved andre dødsfald, der er kommet til politiets kundskab og er antaget at kunne have politimæssig interesse, såfremt politiet efter en undersøgelse finder det åbenbart, at der er tale om naturlig død.",180,LBK nr 1015 af 05/09/2024
24,Hvem kan Børne- og undervisningsministeren videregive oplysninger om uddannelsesdeltageres deltagelse til?,Arbejdsløshedskasser.,"Børne- og undervisningsministeren kan videregive oplysninger om uddannelsesdeltageres deltagelse i uddannelse efter denne lov til arbejdsløshedskasser til brug for rådgivning af deres medlemmer i forhold til kompetenceudvikling. Børne- og undervisningsministeren fastsætter nærmere regler om, hvilke oplysninger der kan videregives efter stk. 1.",28 a,LBK nr 144 af 14/02/2024
25,Hvem træffer alle konkrete beslutninger vedrørende skolens elever?,Skolelederen.,"Ved hver skole ansættes en leder, jf. dog § 24, stk. 3, § 24 a, stk. 1, og § 24 b, stk. 1. Skolelederen leder og fordeler arbejdet mellem skolens ansatte og træffer alle konkrete beslutninger vedrørende skolens elever. Skolens leder udarbejder forslag til skolebestyrelsen om skolens læseplaner, jf. § 44, stk. 8, forslag vedrørende principper for skolens virksomhed m.v., jf. § 44, stk. 2, og forslag til skolens budget, jf. § 44, stk. 3, inden for de af kommunalbestyrelsen fastsatte økonomiske rammer, jf. § 40, stk. 2, nr. 1. I forbindelse med planlægningen af det kommende skoleår forelægger skolens leder det kommende skoleårs skemaer for undervisningen og rammerne for skiftende skemaer for skolebestyrelsen, med henblik på at skolebestyrelsen kan afgive en udtalelse herom. Skolens leder udøver sin virksomhed i samarbejde med de ansatte. Skolens leder inddrager skolens elever i spørgsmål vedrørende elevernes sikkerhed og sundhed.",45,LBK nr 989 af 27/08/2024
26,Hvor mange år må en dom om anbringelse ikke overstige?,10 år.,"Tiden for anbringelsen i anstalt, som ikke kan overstige 10 år, fastsættes i dommen. Begår den dømte ny lovovertrædelse under ophold i anstalt, fastsætter retten en samlet foranstaltning for dette forhold og for den tidligere pådømte lovovertrædelse, medmindre den anser den tidligere foranstaltning for tilstrækkelig. Stk. 2 finder tilsvarende anvendelse, hvis den dømte begår ny lovovertrædelse efter at være dømt til anbringelse i anstalt, men inden anbringelse i anstalt er iværksat.",147,LBK nr 1187 af 18/09/2023
28,"Hvad kan et jobcenter give et tilbud om, udover ansættelse med løntilskud, nytteindsats samt vejledning og opkvalificering?",Virksomhedspraktik.,"Jobcenteret kan give tilbud om følgende: Virksomhedspraktik, jf. kapitel 11. Virksomhedspraktik, jf. kapitel 11. Ansættelse med løntilskud, jf. kapitel 12. Nytteindsats, jf. kapitel 13. Vejledning og opkvalificering, jf. kapitel 14. Tilbud kan gives hver for sig eller i kombination.",52,LBK nr 280 af 01/03/2024
30,"Hvem må ikke videregive oplysninger om en person, der har indberettet en forvalter af alternative investeringsfonder?",Finanstilsynets ansatte.,"Finanstilsynets ansatte må ikke videregive oplysninger om en person, når vedkommende har indberettet en forvalter af alternative investeringsfonde eller en person til Finanstilsynet for overtrædelse eller potentiel overtrædelse af denne lov, regler udstedt i medfør heraf og bestemmelser indeholdt i Den Europæiske Unions forordninger for de områder af loven, som Finanstilsynet fører tilsyn med, jf. dog stk. 2. Bestemmelsen i stk. 1 er ikke til hinder for, at personoplysninger videregives i medfør af § 170, stk. 7. Alle, der i henhold til stk. 2 modtager personoplysninger, er med hensyn til disse oplysninger undergivet den i stk. 1 omhandlede tavshedspligt.",172 a,LBK nr 231 af 01/03/2024
33,"Hvad kaldes den frist, som fremkommer krav, der er tillagt udpantningsret?",Fuldbyrdelsesfristen.,"For krav, som er tillagt udpantningsret, er fuldbyrdelsesfristen 7 dage efter dagen for meddelelse om forretningen, jf. § 493, stk. 3.",485,LBK nr 250 af 04/03/2024
34,Hvilke betingelser skal være opfyldt for at få udbetalt rejse- eller befordringsgodtgørelser efter ligningslovens § 9 A eller 9 B?,Betingelserne for skattefrihed.,"Hvis en indeholdelsespligtig udbetaler rejse- eller befordringsgodtgørelser efter reglerne i ligningslovens § 9 A eller § 9 B og det efterfølgende konstateres, at betingelserne for skattefrihed i disse bestemmelser ikke er opfyldt, kan told- og skatteforvaltningen efter anmodning fra den indeholdelsespligtige tillade, at den indeholdelsespligtige betaler et beløb svarende til 56 pct. af de pågældende godtgørelser. Told- og skatteforvaltningen træffer efter anmodning afgørelse om, hvorvidt udbetalte godtgørelser som nævnt i stk. 1 er skattepligtige. Betaling efter stk. 1 skal ske inden for fristen for betaling af indeholdt A-skat for den måned, der følger efter den måned, hvori tilladelsen efter stk. 1 er givet. Uanset skatteforvaltningslovens § 17 kan told- og skatteforvaltningen oplyse den indeholdelsespligtige om godtgørelser som omhandlet i stk. 1 udbetalt af den pågældende indeholdelsespligtige, som told- og skatteforvaltningen anser for skattepligtige, herunder om modtagerne af sådanne godtgørelser, og om der er udsendt agterskrivelser eller årsopgørelser til modtagerne, hvori godtgørelserne er medregnet.",69 A,LBK nr 460 af 03/05/2024
35,Hvem fører tilsyn med sammenlægningsudvalgene angivet i lov om kommunernes styrelse?,Statsamtmænd.,"Lov om kommunernes styrelse kapitel VI og VII finder i øvrigt tilsvarende anvendelse på de i § 33, stk. 2, anførte statsamtmænds tilsyn med sammenlægningsudvalgene.",34,LBK nr 71 af 23/01/2024
37,Hvordan anføres kandidatlister på stemmesedler?,I særskilte felter.,Kandidatlisterne anføres på stemmesedlen i særskilte felter.,46,LBK nr 6 af 08/01/2024
38,Hvem iværksætter beslaglæggelse?,Politiet.,"Politiet iværksætter beslaglæggelse. Politiet foranlediger ved henvendelse til den, som indgrebet retter sig imod, at et pålæg om edition opfyldes. Beslaglægges materiale hos personer, der er omfattet af § 172, kan den pågældende kræve, at det første gennemsyn af materialet skal foretages af retten. Har retten afsagt kendelse om beslaglæggelse af en formue eller en del af en formue, jf. § 802, stk. 3, skal politiet sørge for, at der beskikkes en værge til at bestyre den beslaglagte formue. Genstande, som kommer i politiets besiddelse som følge af beslaglæggelse eller pålæg om udlevering, skal snarest muligt optegnes og mærkes.",807,LBK nr 250 af 04/03/2024
41,Hvis interesser skal foranstaltninger mod interessekonflikter i alternative investeringsfondes indretning beskytte imod?,De forvaltede alternative investeringsfondes eller deres investorers interesse.,"En forvalter af alternative investeringsfonde skal ved indretningen af sin virksomhed organisatorisk såvel som administrativt træffe alle rimelige foranstaltninger med henblik på at identificere, forhindre, styre og overvåge interessekonflikter for at forhindre, at de skader de forvaltede alternative investeringsfondes eller deres investorers interesser. En forvalter skal kunne identificere interessekonflikter, der vil kunne opstå i forbindelse med forvaltningen af alternative investeringsfonde imellem følgende: Forvalteren, herunder dens ledelse, ansatte eller enhver anden person, der direkte eller indirekte er forbundet med forvalteren ved et kontrolforhold, og de forvaltede alternative investeringsfonde eller investorer i sådanne alternative investeringsfonde. Forvalteren, herunder dens ledelse, ansatte eller enhver anden person, der direkte eller indirekte er forbundet med forvalteren ved et kontrolforhold, og de forvaltede alternative investeringsfonde eller investorer i sådanne alternative investeringsfonde. Forskellige forvaltede alternative investeringsfonde eller UCITS indbyrdes eller imellem investorer i sådanne fonde eller UCITS. Forvaltede alternative investeringsfonde eller investorer i sådanne fonde og en eller flere af forvalterens andre kunder. To af forvalterens kunder. Hvis kravene i stk. 1 og 2 ikke med rimelig sikkerhed kan sikre, at risikoen for at skade investorernes interesser vil blive undgået, skal forvalteren klart oplyse investorerne om interessekonflikternes generelle karakter eller kilderne hertil, inden forvalteren påtager sig opgaver på investorernes vegne. Forvalteren skal udarbejde passende politikker og procedurer for håndteringen af interessekonflikter, som skal anvendes, når de organisatoriske ordninger og foranstaltninger efter stk. 1 ikke er tilstrækkelige. Hvis forvalteren anvender prime broker-ydelser på vegne af en alternativ investeringsfond, skal betingelserne for sådanne ydelser være fastsat i en skriftlig aftale. Finanstilsynet kan fastsætte nærmere regler om de foranstaltninger, som forvalteren efter stk. 1 og 3-5 med rimelighed kan forventes at træffe, om de forskellige typer af interessekonflikter, som er omhandlet i stk. 2, og om forebyggelse af interessekonflikter.",23,LBK nr 231 af 01/03/2024
42,"Hvad skal valgstyrere eller tilforordnede vælgere vise de tilstedeværende, inden stemmeafgivningens begyndelse?",At stemmekasserne er tomme.,"Afstemningen begynder kl. Inden stemmeafgivningens begyndelse skal valgstyrere eller tilforordnede vælgere vise de tilstedeværende, at stemmekasserne er tomme.",38,LBK nr 1432 af 01/12/2023
44,"Hvem fastsætter om udenlandske afgørelser af borgerlige krav, har bindende virkning i Danmark, selvom de går i mod dansk retsorden?",Justitsministeren.,"Justitsministeren kan fastsætte bestemmelser, hvorefter afgørelser af udenlandske domstole og myndigheder om borgerlige krav og udenlandske offentlige forlig om sådanne krav skal have bindende virkning her i riget, når anerkendelsen ikke vil være åbenbart uforenelig med landets retsorden.",223 a,LBK nr 250 af 04/03/2024
